ID,Salary,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
13,240000,sampla,m,17-07-1992,68.4,cbse,2010,74.6,cbse,7255,2,B.Tech/B.E.,electronics and communication engineering,79.5,7255,0,Haryana,2014,500,525,595,0.20739217,-1,260,-1,-1,-1,420,-1,0.2718,1.3779,0.3174,-0.2344,1.0554
14,775000,Dammam,m,12-01-1991,87.4,cbse,2008,63,cbse,11973,1,B.Tech/B.E.,mechanical engineering,55,11973,1,Maharashtra,2013,580,555,410,0.8295846,-1,-1,-1,469,-1,-1,-1,-0.8772,-0.1206,-0.1437,-0.2344,-0.0943
15,335000,Mumbai,m,27-09-1991,93.33,icse,2009,76.66,cbse,8440,1,B.Tech/B.E.,,72,8440,0,Orissa,2014,650,570,750,-1,515,-1,-1,-1,-1,-1,-1,0.5591,0.3789,-0.1437,,0.6721
16,515000,-1,f,24-03-1990,86.6,board of secondary education,2007,92,board of intermediate,9775,2,B.Tech/B.E.,computer engineering,77.96,9775,1,Telangana,2011,495,555,425,0.793580615,495,-1,-1,-1,-1,-1,-1,0.8192,0.8128,0.5269,-1.4653,0.1864
17,650000,Bangalore,m,01-06-1987,77.5,0,2005,86,0,3395,1,MCA,computer application,67.4,3395,0,West Bengal,2011,345,455,435,0.600057182,435,-1,-1,-1,-1,-1,-1,0.3836,0.7135,0.0914,0.1477,-1.0458
18,240000,Rewari,f,15-07-1989,78,cbse,2006,70.1,cbse,166,2,B.Tech/B.E.,electronics and communication engineering,68.2,166,0,Haryana,2011,415,595,495,0.694479328,-1,366,-1,-1,-1,-1,-1,0.8192,-0.0842,-0.598,-0.6428,-0.6035
19,350000,Pune,m,25-01-1991,80.53,state board,2008,80.5,state board,8743,2,B.Tech/B.E.,information technology,58.61,8743,0,Maharashtra,2013,645,795,675,0.983749967,635,-1,-1,-1,-1,-1,-1,-0.4463,1.3779,0.9322,-0.995,0.8637
20,240000,Bangalore,f,12-12-1991,72.8,cbse,2009,65.6,cbse,3002,2,B.Tech/B.E.,electronics and electrical engineering,70,3002,0,Orissa,2013,545,470,380,0.112139438,355,228,-1,-1,-1,-1,-1,1.2772,0.7119,0.7785,-1.1218,0.6721
21,395000,-1,m,11-05-1985,49.9,up board,2002,56.1,up board,893,2,B.Tech/B.E.,computer engineering,66.26,893,0,Uttar Pradesh,2010,495,475,595,0.670743151,455,-1,-1,-1,-1,-1,-1,0.8192,1.1248,0.672,0.0623,1.1343
22,240000,Kolkata,m,02-05-1992,,cbse,2009,66.4,cbse,3801,2,B.Tech/B.E.,electronics and communication engineering,62.6,3801,0,Karnataka,2014,630,420,405,0.338786347,425,292,-1,-1,-1,-1,-1,,0.3789,0.3174,-0.1076,1.0554
23,360000,-1,f,25-09-1991,77.8,cbse,2009,79.4,cbse,1622,2,B.Tech/B.E.,computer engineering,80,1622,0,Madhya Pradesh,2013,520,655,825,0.765673581,485,-1,-1,-1,-1,-1,-1,0.2718,1.0449,0.01,-0.8682,0.2889
24,260000,Mumbai,m,08-09-1992,84.62,state board,2010,65.4,state board,10119,2,B.Tech/B.E.,information technology,76,,0,Gujarat,2014,360,510,475,0.622642916,445,-1,407,-1,-1,-1,-1,-0.159,-0.9531,0.9322,1.2869,-0.2859
25,150000,New Delhi,m,01-04-1990,80,cbse,2008,59,cbse,10932,2,B.Tech/B.E.,electronics and communication engineering,69.76,10932,0,Uttar Pradesh,2013,465,475,465,0.538386893,345,333,-1,-1,-1,313,-1,-1.9629,-0.1232,-0.7794,0.06223,-1.2354
26,325000,Bangalore,m,26-03-1992,88.4,cbse,2010,86.4,cbse,47,1,B.Tech/B.E.,computer science & engineering,76,47,1,Delhi,2014,605,665,605,0.916869961,555,-1,-1,-1,-1,-1,-1,0.4155,1.0449,1.0859,-0.995,0.2889
27,600000,Lucknow,m,11-09-1990,73,icse,2008,70,icse,6434,2,B.Tech/B.E.,computer engineering,60,6434,0,Uttarakhand,2012,505,505,355,0.165633092,305,-1,-1,-1,-1,-1,-1,0.3941,1.2808,1.688,-0.08457,-0.2875
28,115000,Gurgaon,m,07-10-1992,64,state board,,54.4,cbse,3427,2,B.Tech/B.E.,computer science & engineering,60,3427,0,Orissa,2013,430,485,265,0.635978756,445,-1,-1,-1,-1,-1,-1,-0.3027,-0.2871,-0.7585,0.7798,-2.3415
29,240000,Faridabad,m,22-08-1992,80.33,cbse,2010,66.2,cbse,3245,2,B.Tech/B.E.,information technology,67.6,3245,0,Haryana,2014,395,520,500,0.23780284,495,-1,315,-1,-1,-1,-1,0.4155,0.7119,0.7785,,0.2889
30,250000,Jodhpur,m,02-09-1989,55.5,rbse,,59.38,rbse,11444,2,B.Tech/B.E.,computer engineering,64.4,11444,0,Rajasthan,2011,485,495,575,0.81941653,505,-1,-1,-1,-1,-1,-1,-0.4173,1.1248,-1.2148,,0.3444
31,335000,Pune,f,04-04-1992,86.8,state board,2009,91.7,state board,9769,2,B.Tech/B.E.,electronics and communication engineering,79.75,9769,1,Telangana,2013,650,585,735,0.694479328,-1,366,-1,-1,-1,-1,-1,,0.8784,-0.1437,-0.8682,-0.6692
32,320000,Indore,m,16-09-1985,52.5,up board,,51.6,cbse,3200,1,B.Tech/B.E.,electronics and electrical engineering,66.66,3200,1,Delhi,2010,475,445,585,0.538386893,405,333,-1,-1,-1,-1,-1,-0.5719,0.3448,-0.0537,1.3549,1.1343
33,95000,New Delhi,f,16-09-1993,71.6,cbse,2011,64.4,cbse,57,2,B.Tech/B.E.,information technology,71.02,,0,Haryana,2015,475,520,485,0.486747008,405,-1,376,-1,-1,-1,-1,-1.4517,0.3789,-0.4511,1.9207,0.0973
34,470000,Pune,m,18-02-1988,87.2,0,2006,83,0,223,2,B.Tech/B.E.,mechanical engineering,63,223,1,Maharashtra,2010,575,405,554,-1,345,333,-1,-1,-1,-1,-1,,-1.5273,-0.1988,-1.8179,-1.5513
35,460000,Pune,m,01-04-1988,76,maharashtra,,72,maharashtra,477,2,B.Tech/B.E.,computer engineering,58.92,477,1,Maharashtra,2009,355,355,545,0.488347977,405,-1,-1,-1,-1,-1,-1,-1.3447,-1.9953,-1.3599,0.1798,-2.0253
36,280000,Jaipur,m,01-04-1992,74,cbse,2010,75,cbse,5812,2,B.Tech/B.E.,electronics and communication engineering,65,5812,1,Rajasthan,2014,465,565,605,0.943272158,565,452,-1,-1,-1,-1,-1,-0.4463,0.0459,1.0859,,-1.0524
37,350000,Bathinda,m,08-08-1989,63,cbse,2007,61,cbse,272,2,B.Tech/B.E.,biotechnology,61,272,0,Punjab,2011,555,435,475,-1,-1,-1,-1,-1,-1,-1,-1,-0.7335,-0.4536,-0.4511,-0.8682,0.2889
38,325000,Hyderabad,m,31-07-1992,91.8,state board,2009,89,state board,1754,2,B.Tech/B.E.,computer science & engineering,66.2,1754,0,Kerala,2013,675,500,575,0.744758354,395,-1,438,-1,-1,-1,-1,0.99,1.7109,0.1637,1.0333,1.247
39,345000,Navi Mumbai,f,06-02-1990,80.2,cbse,2008,72,cbse,4948,2,B.Tech/B.E.,electronics and communication engineering,72.25,4948,1,Rajasthan,2012,590,400,545,0.538386893,-1,333,-1,-1,-1,-1,-1,1.1283,1.1248,1.1074,-0.7603,0.3049
40,445000,Bangalore,m,14-08-1988,86.4,cbse,2005,79.8,cbse,2097,2,B.Tech/B.E.,computer engineering,81.9,2097,0,Uttar Pradesh,2011,565,585,655,0.916869961,555,-1,-1,-1,-1,-1,-1,-1.1901,-0.2793,0.0914,0.1798,-0.6035
41,180000,Noida,m,19-03-1991,75,cbse,2009,60.13,cbse,13344,2,B.Tech/B.E.,electronics and communication engineering,67.57,13344,0,Uttar Pradesh,2014,525,460,390,0.783303537,-1,388,-1,-1,-1,292,-1,1.5644,0.0459,0.01,0.2727,0.8637
42,100000,-1,f,17-05-1992,,state board,2009,95,state board,4726,2,B.Tech/B.E.,electronics and communication engineering,78.6,4726,0,Telangana,2013,405,545,450,0.649389715,375,356,-1,-1,-1,-1,-1,0.5591,-0.4536,0.01,-0.4879,0.6721
43,440000,Hyderabad,f,14-05-1992,86,state board,2009,96,state board,8820,2,B.Tech/B.E.,electronics and communication engineering,79.98,,1,Telangana,2013,520,610,735,0.0587928,425,200,284,-1,-1,-1,-1,0.1282,-0.832,-1.2056,0.9066,-1.359
44,3000000,-1,m,01-08-1992,89,cbse,2009,67,state board,2772,2,B.Tech/B.E.,electronics and communication engineering,70,2772,0,Andhra Pradesh,2014,720,530,675,-1,375,-1,-1,-1,-1,-1,-1,-0.0154,0.7119,0.4711,-0.6147,0.2889
45,100000,Mysore,m,21-09-1992,80.64,state board,2010,76.5,state board,9509,2,B.Tech/B.E.,mechanical engineering,65.9,9509,0,Karnataka,2014,500,690,460,0.8295846,-1,-1,-1,469,-1,-1,-1,-0.159,-0.1206,0.3174,-0.1076,0.0973
46,180000,Greater Noida,m,15-04-1991,78.2,cbse,2009,63.6,cbse,1982,2,B.Tech/B.E.,information technology,69.43,,0,Uttar Pradesh,2013,545,570,665,0.864685413,525,-1,-1,-1,-1,-1,-1,0.2718,0.5454,0.3174,-0.8682,0.6721
47,325000,Bangalore,m,22-02-1992,76.5,cbse,2010,81.8,cbse,47,1,B.Tech/B.E.,computer science & engineering,76.4,47,1,Delhi,2014,380,645,620,0.991230625,675,-1,592,-1,-1,-1,-1,0.5591,1.0449,0.1637,-1.7556,0.6721
48,700000,Noida,m,16-05-1985,75.6,state board,2003,66.8,state board,400,1,M.Tech./M.E.,computer science & engineering,87.6,400,0,Madhya Pradesh,2013,510,640,575,0.884122512,535,-1,-1,-1,-1,-1,-1,0.99,1.2114,0.6248,-1.3753,0.6721
49,240000,Hyderabad,m,30-03-1994,87.5,state board,,92,state board,495,2,B.Tech/B.E.,information technology,76.47,495,1,Telangana,2015,430,555,500,0.916869961,555,-1,-1,-1,-1,-1,-1,,-0.6201,-0.4511,1.9207,-0.4776
50,325000,Kolkata,m,12-06-1991,81.6,cbse,2010,65,cbse,14381,2,B.Tech/B.E.,electronics and communication engineering,75,14381,1,West Bengal,2014,665,480,560,0.053160305,495,196,-1,-1,-1,-1,-1,-0.0415,0.3123,0.4711,-0.7415,-0.6692
51,220000,Pune,m,24-11-1985,77.4,ssc,2007,72.48,msbte (diploma in computer technology),472,2,B.Tech/B.E.,information technology,54.75,472,1,Maharashtra,2010,415,475,455,0.884122512,535,-1,-1,-1,-1,-1,-1,-0.5719,-0.5913,-0.7794,-0.5253,0.3444
52,215000,New Delhi,m,24-12-1989,83.6,0,2006,79.6,0,11025,2,B.Tech/B.E.,biotechnology,87.6,11025,0,Uttar Pradesh,2011,605,515,445,-1,-1,-1,-1,-1,-1,-1,-1,0.3555,0.8128,-0.0537,,0.1864
53,300000,Mumbai,m,10-05-1991,82.6,cbse,2009,76,cbse,5815,2,B.Tech/B.E.,information technology,69.43,5815,0,Madhya Pradesh,2013,370,385,385,0.765673581,485,-1,-1,-1,-1,-1,-1,1.2772,-0.2871,-0.6048,-1.7556,-0.0943
54,120000,-1,f,27-04-1989,73.2,cbse,,59,cbse,81,2,B.Tech/B.E.,computer engineering,65.4,81,0,Uttar Pradesh,2011,535,525,555,0.81941653,505,-1,-1,-1,-1,-1,-1,0.51,-1.3713,-1.0697,-1.1128,-0.1295
55,485000,noida,m,24-04-1992,92.3,state board,2009,95,state board,13741,2,B.Tech/B.E.,electronics and communication engineering,80,13741,0,Andhra Pradesh,2013,465,570,680,0.694479328,485,366,-1,-1,-1,-1,-1,1.1336,1.5293,0.3034,-1.8824,0.9404
56,200000,Patna,m,26-03-1990,73,state board,2008,60.2,cbse,16522,2,B.Tech/B.E.,electronics and communication engineering,75.47,16522,0,Madhya Pradesh,2013,475,435,485,0.649389715,-1,356,-1,-1,-1,356,-1,1.1336,-1.2861,0.6248,,0.8637
57,280000,mohali,f,09-10-1989,79,icse,2008,74.6,cbse,5232,2,B.Tech/B.E.,computer engineering,71.2,5232,0,Haryana,2012,525,435,505,0.488347977,405,-1,-1,-1,-1,-1,-1,-1.4606,-1.0593,-0.344,1.1492,-2.3412
58,120000,Rourkela,f,15-08-1990,78,hse,2007,51.3,chse,11142,2,B.Tech/B.E.,computer engineering,74.8,11142,0,Orissa,2011,435,505,475,0.413838256,385,-1,-1,-1,-1,-1,-1,0.51,-0.2012,-0.2714,0.41483,-0.1295
59,150000,Navi Mumbai,m,22-02-1991,74.67,ssc maharashtra board,2008,69.5,hsc maharashtra board,13536,2,M.Tech./M.E.,other,69,13536,1,Maharashtra,2015,545,545,435,-1,285,-1,-1,-1,-1,-1,-1,1.592,0.7348,0.4906,-0.9953,0.1864
60,120000,Kolkata,m,28-01-1990,,state board,2007,77.2,state board,1371,2,B.Tech/B.E.,information technology,68.9,1371,1,West Bengal,2013,405,565,475,0.486747008,445,-1,376,-1,-1,-1,-1,1.3686,0.6009,0.7785,-1.2486,1.0031
61,145000,mohali,m,02-07-1990,84.2,0,2008,78.6,0,100,2,B.Tech/B.E.,electronics and communication engineering,64.45,100,0,Haryana,2012,525,605,595,0.376059587,-1,300,-1,-1,-1,-1,-1,-2.272,0.2668,-0.9245,1.0024,0.6603
62,270000,Bangalore,m,27-03-1989,81.92,state board,2007,61.46,state board,1109,2,B.Tech/B.E.,information technology,57.54,1109,1,Karnataka,2011,565,465,415,0.843123727,515,-1,-1,-1,-1,-1,-1,1.2828,1.7488,1.8331,-2.2879,1.1343
63,150000,CHENNAI,f,14-10-1993,93,state board,2010,89,state board,8895,2,B.Tech/B.E.,information technology,83,8895,0,Tamil Nadu,2014,345,495,325,0.622642916,445,-1,407,-1,-1,-1,-1,-0.7335,0.0459,-0.1437,1.0333,-0.8608
64,315000,Hyderabad,f,04-06-1993,,state board,2010,89,state board,12949,1,B.Tech/B.E.,electronics & instrumentation eng,80,12949,1,Telangana,2014,640,525,545,-1,-1,-1,-1,-1,-1,-1,-1,1.1336,1.0449,0.4711,-1.6289,0.8637
65,95000,Ernakulam,m,15-09-1988,92,kerala state board,2007,80,kerala state board,1275,2,B.Tech/B.E.,mechanical engineering,64.16,1275,0,Kerala,2011,565,375,375,0.414337426,-1,-1,-1,366,-1,-1,-1,0.8192,-0.2793,-0.1988,-0.6428,0.0284
66,370000,Noida,m,05-06-1990,58,state board,,66.4,state board,2541,2,B.Tech/B.E.,electronics and communication engineering,66,2541,0,Uttarakhand,2012,335,455,595,-1,305,-1,-1,-1,-1,-1,-1,0.8479,0.9028,-0.4899,,0.7906
67,630000,Bangalore,m,03-10-1988,,0,,80.4,0,1648,2,B.Tech/B.E.,electronics & telecommunications,63.6,1648,1,Karnataka,2010,535,475,415,0.0587928,365,200,-1,-1,-1,-1,-1,-1.4992,-0.1232,0.0914,,-1.2354
68,325000,Bangalore ,m,09-02-1993,91,state board,2010,96.3,state board,16441,2,B.Tech/B.E.,electronics and communication engineering,74.31,16441,0,Andhra Pradesh,2014,475,565,705,-1,475,-1,-1,-1,-1,-1,-1,,1.0449,-0.2974,-2.136,-0.6692
69,100000,Bhubaneshwar,m,12-06-1987,45.6,bse,2007,73.6,chse,1268,2,MCA,computer application,85.2,1268,0,Orissa,2010,365,385,454,0.765673581,485,-1,-1,-1,-1,-1,-1,0.6646,0.3448,-1.0697,0.2973,-0.9194
70,330000,Chennai,m,20-02-1989,87.6,state board,2006,79,state board,439,2,B.Tech/B.E.,electronics and electrical engineering,66,439,1,Tamil Nadu,2010,455,465,605,0.694479328,-1,366,-1,-1,-1,-1,-1,0.51,0.1498,-0.0537,-1.23027,-0.4455
71,330000,pune,m,24-01-1993,76,state board,,89.8,state board,272,2,B.Tech/B.E.,computer science & engineering,62,272,0,Punjab,2015,595,530,630,-1,-1,-1,-1,-1,-1,-1,-1,0.5591,0.7119,0.01,-0.2344,0.8637
72,300000,Bangalore,f,08-07-1992,93,cbse,2010,89.4,cbse,13136,1,B.Tech/B.E.,,80.6,13136,1,Rajasthan,2014,545,585,575,0.991230625,575,-1,592,-1,-1,-1,-1,,1.2114,0.9322,1.5404,0.8637
73,330000,-1,m,27-08-1987,73.5,wbbse,2008,81,wbscte,1906,2,B.Tech/B.E.,electronics and communication engineering,73.8,1906,1,West Bengal,2011,415,445,615,0.376059587,155,300,-1,-1,-1,286,-1,-1.1901,0.9688,0.3817,0.0623,0.8183
74,300000,Noida,f,14-01-1992,79,cbse,,74,cbse,10932,2,B.Tech/B.E.,electronics and communication engineering,64.4,10932,0,Uttar Pradesh,2013,535,475,515,0.376059587,-1,300,-1,-1,-1,340,-1,0.2718,0.7119,0.9322,-0.3612,-0.6692
75,240000,Kolkata,f,06-03-1987,67.25,wbbse,2009,63.4,wbchse,2066,2,B.Tech/B.E.,electrical engineering,69.97,2066,1,West Bengal,2010,455,565,565,0.694479328,365,366,-1,-1,-1,-1,-1,0.9737,1.2808,0.8171,-0.0552,1.4502
76,305000,Coimbatore,m,16-08-1992,79.4,state board,2010,90.2,state board,15022,1,B.Tech/B.E.,computer science & engineering,60.2,15022,0,Tamil Nadu,2014,510,570,310,0.622642916,425,-1,407,-1,-1,-1,-1,0.7027,0.5454,-0.6048,0.5262,0.8637
77,600000,Banglore,m,15-04-1990,74,0,2008,63,0,2656,2,B.Tech/B.E.,electronics and communication engineering,65,2656,0,Haryana,2011,375,445,445,0.023312168,-1,166,-1,-1,-1,260,-1,0.51,-0.7473,0.672,-0.7603,0.0284
78,310000,Pune,m,10-06-1991,,state board,2009,73,state board,1995,2,B.Tech/B.E.,electronics engineering,69.84,1995,1,Maharashtra,2014,370,520,475,-1,395,-1,-1,-1,-1,-1,-1,1.5644,1.7109,1.7007,-0.995,-0.8608
79,100000,Mumbai,f,05-12-1987,62.26,0,,78.88,0,1329,2,B.Tech/B.E.,electronics & telecommunications,60.68,1329,1,Maharashtra,2010,515,325,415,0.985461394,-1,500,-1,-1,-1,-1,-1,1.2828,-0.7473,-0.9245,0.2973,-0.9194
80,200000,bangalore,m,11-08-1991,94.16,state board,2009,95.5,state board,11000,2,B.Tech/B.E.,electronics and communication engineering,83.62,11000,1,Telangana,2013,380,475,575,0.538386893,375,333,-1,-1,473,-1,-1,0.8463,1.2114,0.1637,,1.0554
81,295000,Gurgaon,m,04-04-1991,75.2,state board,2009,84.6,state board,7376,2,B.Tech/B.E.,mechanical engineering,68.8,7376,0,Uttar Pradesh,2013,415,545,545,0.654107475,-1,-1,-1,420,-1,-1,-1,-0.5899,-1.9521,-1.0659,0.9066,-0.8608
82,450000,-1,f,05-04-1992,91.6,icse,,90.2,cbse,13439,2,B.Tech/B.E.,computer science & engineering,74,13439,0,Jharkhand,2014,615,610,680,0.978799293,495,-1,561,-1,-1,-1,-1,0.2718,0.8784,-1.6807,1.0333,0.6721
83,400000,Unnao,m,04-01-1986,72,cbse,2005,70,icse,1638,2,B.Tech/B.E.,instrumentation and control engineering,61.7,1638,0,Uttar Pradesh,2012,685,525,605,0.538386893,-1,333,-1,-1,-1,-1,-1,0.626,0.9688,-1.7954,1.1492,-0.2875
84,350000,Bangalore,m,07-03-1990,85.17,state board,2008,77.77,state board,1589,1,B.Tech/B.E.,computer science & engineering,64.1,1589,0,Assam,2013,545,605,825,0.842248322,495,-1,469,-1,-1,-1,-1,0.2718,0.8784,0.1637,0.1459,1.247
85,350000,Hyderabad,m,19-01-1992,84,cbse,,93.4,state board,7269,2,B.Tech/B.E.,electronics and communication engineering,81,7269,1,Telangana,2013,685,610,590,0.88162007,405,420,-1,-1,-1,446,-1,,0.8784,1.0859,-0.4879,0.6721
86,240000,-1,m,05-11-1989,67.33,state board,2008,64,state board,11872,1,MCA,computer application,80,11872,0,Chhattisgarh,2014,465,495,450,0.994050872,675,-1,-1,-1,-1,-1,-1,0.2718,-0.7866,0.6248,,-1.244
87,310000,Navi Mumbai,m,20-08-1991,63.4,state board,2008,66.6,state board,67,2,B.Tech/B.E.,computer science & engineering,64,67,0,Uttar Pradesh,2013,580,560,575,0.765673581,485,-1,-1,-1,-1,-1,-1,-1.0208,0.0459,0.1637,0.9066,0.4805
88,100000,-1,f,20-09-1992,79.6,state board,2010,87.2,state board,13193,2,B.Tech/B.E.,computer science & engineering,73.87,13193,0,Chhattisgarh,2014,370,485,320,0.911395278,595,-1,500,-1,-1,-1,-1,1.4208,-0.7866,0.6248,0.2727,0.4805
89,145000,Chennai,m,09-12-1988,66.4,state board,2006,67.75,state board,4173,2,MCA,computer application,76,4173,1,Tamil Nadu,2013,535,480,260,0.622642916,585,-1,407,-1,-1,-1,-1,,1.3779,0.4711,-1.8824,0.2889
90,430000,Bangalore,m,18-03-1987,57.78,sslc board,2005,45.5,pue,462,2,MCA,computer application,67,,1,Karnataka,2011,455,445,544,0.765673581,485,-1,-1,-1,-1,-1,-1,,-0.2793,0.0914,-1.1128,-0.1295
91,345000,Mumbai,f,19-07-1989,84.5,icse,2007,82.66,isc,6570,2,B.Tech/B.E.,electronics and electrical engineering,78.7,6570,0,Orissa,2011,545,445,525,0.229481755,465,266,-1,-1,-1,-1,-1,1.1283,1.4368,-0.344,,0.5024
92,105000,Hyderabad,m,24-03-1991,83,state board,2009,81,state board,9184,2,B.Tech/B.E.,electronics and communication engineering,65.21,9184,1,Telangana,2013,510,305,310,0.694479328,405,366,-1,-1,286,260,-1,-1.0208,-0.6201,-0.1437,1.4136,-0.0943
93,215000,Mysore,m,26-06-1991,80.13,state board,,69.17,state board,5696,2,B.Tech/B.E.,computer science and technology,60.34,5696,0,Maharashtra,2012,590,440,385,0.996744487,475,-1,623,-1,-1,-1,-1,-0.5899,-0.6201,0.4711,-0.3612,-0.2859
94,95000,-1,m,04-05-1991,82,ssc,2008,87,bie,961,2,B.Tech/B.E.,,70,961,1,Telangana,2012,675,625,595,0.704090412,465,-1,-1,-1,-1,-1,-1,1.5533,1.7488,1.8331,,0.1864
95,120000,Noida,m,17-08-1989,58.33,up,2007,73.33,up,198,2,B.Tech/B.E.,computer science & engineering,71.97,198,0,Uttar Pradesh,2012,395,325,585,0.744758354,395,-1,438,-1,-1,-1,-1,0.8192,0.5008,0.2366,-0.05527,0.6603
96,430000,Pune,m,17-09-1990,87.3,0,2008,82,0,8099,2,B.Tech/B.E.,computer engineering,72,8099,0,Karnataka,2012,405,545,505,0.735795709,475,-1,-1,-1,-1,-1,-1,-0.4173,-2.1513,0.2366,,-1.2354
97,265000,Gurgaon,m,12-02-1992,71.2,state board,2009,72,state board,55,2,B.Tech/B.E.,information technology,76.9,55,0,Uttar Pradesh,2014,430,530,630,0.996744487,645,-1,623,-1,-1,-1,-1,0.7027,1.0449,-0.6048,-0.2344,0.2889
98,730000,Gurgaon,f,23-03-1988,87.6,cbse,2006,72.2,cbse,47,1,B.Tech/B.E.,electronics and communication engineering,77,47,1,Delhi,2010,465,605,465,0.229481755,445,266,-1,-1,-1,-1,-1,-1.0355,-1.0593,-1.0697,0.4148,-0.4455
99,500000,New Delhi,f,26-04-1989,95.4,cbse,2007,93.2,cbse,893,2,B.Tech/B.E.,computer engineering,79.7,893,0,Uttar Pradesh,2011,585,625,615,0.983749967,635,-1,-1,-1,-1,-1,-1,-0.7264,0.6568,0.0914,-0.2902,0.3444
100,250000,Chennai,m,22-04-1993,82.8,state board,,78.25,state board,1370,2,B.Tech/B.E.,electronics and communication engineering,69,,0,Tamil Nadu,2014,555,460,415,0.041733196,375,-1,-1,-1,-1,206,-1,-0.159,1.3779,0.9322,-1.1218,0.8637
